Product Item ID,Product Title,Product Type L1,Product Type L2,Total Impressions,Total Clicks,Total Cost ($),Total Conversions,Total Revenue ($),Total ROAS,CTR (%),Avg CPC ($),Conv Rate (%),Avg Order Value ($),Quarters Active,Campaigns
gla_185958,Forage Kochia,pasture seed,individual pasture species,495,8,19.23,0.96,79.86,4.15,1.62,2.40,12.00,83.19,3,7
pb-iwg-2.5-a,Intermountain West Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,intermountain west goat forage blend,9956,47,57.33,2.15,236.93,4.13,0.47,1.22,4.57,110.20,4,3
gs3_000008,"Nature's Seed Forage 50 Lb of Pasture Grass Seed for 50,000 Sq Ft Kentucky Bluegrass Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,22106,130,124.41,3.00,511.98,4.12,0.59,0.96,2.31,170.66,1,6
gla_184435,Tortoise Forage Mix,pasture seed,,514,11,9.58,1.00,39.42,4.11,2.14,0.87,9.09,39.42,2,3
pb-swdbc,Southwest Desert Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest desert beef cattle forage mix,186283,1949,916.95,17.55,3749.93,4.09,1.05,0.47,0.90,213.67,8,8
gla_445559,"Nature's Seed Transitional Pasture & Forage 10 Lb for 10,000 Sq Ft Mix No Filler, Palatable Seed for Horses",pasture seeds,pasture seeds mix,29169,217,330.79,13.27,1341.84,4.06,0.74,1.52,6.12,101.12,3,7
gla_185489,Great Plains Poultry Forage Mix,pasture seed,poultry pastures,24627,409,346.88,13.95,1406.39,4.05,1.66,0.85,3.41,100.82,4,9
pb-iwbc,Intermountain West Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,intermountain west beef cattle forage mix,51172,299,148.46,4.50,601.56,4.05,0.58,0.50,1.51,133.68,8,8
pb-tort-nb-2000-f,Tortoise Forage Mix (No Bermudagrass) - Pasture Seed | Nature's Seed,pasture seed,tortoise forage mix (no bermudagrass),7448,71,33.26,3.00,133.98,4.03,0.95,0.47,4.23,44.66,3,3
pb-sspb-1000-f,Southern Subtropics Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics poultry forage blend,20423,117,55.38,4.33,221.41,4.00,0.57,0.47,3.70,51.13,4,3
gla_446817,"Nature's Seed Any Region Pasture & Forage 10 Lb for 10,000 Sq Ft Mix Low-Grow, High-Fiber Blend, Turtoise Safe, Filler-Free Forage",pasture seeds,pasture seeds mix,7336,19,34.55,3.00,137.61,3.98,0.26,1.82,15.79,45.87,3,7
pb-gls-2.5-a,Great Lakes/New England Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england sheep forage blend,65708,412,465.87,8.71,1848.41,3.97,0.63,1.13,2.11,212.22,4,3
pb-mws-2.5-a,Mid-West/Mid-Atlantic Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,mid-west/mid-atlantic sheep forage blend,26701,176,147.49,4.32,583.84,3.96,0.66,0.84,2.45,135.15,4,3
gla_185550,Southern Subtropics Poultry Forage Mix,pasture seed,poultry pastures,8808,131,109.22,7.86,431.91,3.95,1.49,0.83,6.00,54.95,4,10
pb-gppb-2.5-a,Great Plains Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains poultry forage blend,15702,86,51.97,4.13,205.50,3.95,0.55,0.60,4.80,49.76,3,3
pb-swdbc-2.5-a,Southwest Desert Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest desert beef cattle forage blend,34675,364,175.03,2.50,687.55,3.93,1.05,0.48,0.69,275.02,4,3
gla_183542,Pacific Northwest Horse Forage Mix,pasture seed,horse pastures,14175,322,495.26,13.21,1944.73,3.93,2.27,1.54,4.10,147.22,4,10
gla_444236,"Nature's Seed Pasture & Forage 5 Lb for 5,000 Sq Ft Alfalfa Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,31548,217,154.86,10.34,607.61,3.92,0.69,0.71,4.76,58.76,4,8
gla_184999,Pacific Northwest Bison Forage Mix,pasture seed,bison pastures,6873,124,207.18,3.04,811.70,3.92,1.80,1.67,2.45,267.01,4,9
gla_452371,"White Clover Seed (Trifolium repens) —Perennial Nitrogen-Fixing Groundcover & Forage 5 Lb for 10,000 Sq Ft | Nature's Seed",specialty seeds,clover seeds,27898,97,127.44,4.20,498.46,3.91,0.35,1.31,4.33,118.68,2,4
gla_446824,"Sheep Fescue Grass Seed – Fine-Textured, Hardy Lawn Seed for Poor Soils 5 Lb for 1,000 Sq Ft | Nature's Seed",specialty seeds,lawn alternative/enhancer,36673,415,276.81,17.53,1078.87,3.90,1.13,0.67,4.22,61.54,3,4
gla_183563,Pacific Southwest Horse Forage Mix,pasture seed,horse pastures,8427,149,284.89,8.23,1106.06,3.88,1.77,1.91,5.52,134.39,4,10
pb-swds-1-a,Southwest Desert Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest desert sheep forage blend,9595,45,30.37,2.00,117.84,3.88,0.47,0.67,4.44,58.92,4,3
pb-satg,South-Atlantic Transitional Goat Forage Mix Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional goat forage mix,63712,472,249.95,9.69,968.87,3.88,0.74,0.53,2.05,99.99,8,8
s-feov-1-lb,Sheep Fescue Grass - Grass Seed | Nature's Seed,grass seed,sheep fescue grass,30780,381,206.95,11.70,801.09,3.87,1.24,0.54,3.07,68.47,4,3
pb-glpb-1000-f,Great Lakes/New England Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england poultry forage blend,5299,35,27.68,1.00,106.40,3.84,0.66,0.79,2.86,106.40,4,3
pb-swddc,Southwest Desert Dairy Cow Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest desert dairy cow forage mix,13536,50,31.60,0.41,121.37,3.84,0.37,0.63,0.82,296.02,8,7
pg-rasa-50-lb,Forage Radish - Pasture Seed | Nature's Seed,pasture seed,forage radish,11146,95,33.92,3.44,129.96,3.83,0.85,0.36,3.62,37.78,4,3
pb-pnwbc-0.5-a,Pacific Northwest Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific northwest beef cattle forage blend,28558,320,188.05,3.38,719.32,3.83,1.12,0.59,1.06,212.82,4,3
pb-ssg-0.5-a,Southern Subtropics Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics goat forage blend,18971,109,95.60,3.48,363.82,3.81,0.57,0.88,3.19,104.55,4,3
gla_445851,"Nature's Seed Transitional Pasture & Forage 50 Lb for 50,000 Sq Ft Mix No Filler, Palatable Seed for Horses",pasture seeds,pasture seeds mix,21112,121,341.22,7.00,1292.84,3.79,0.57,2.82,5.79,184.69,3,7
gla_446800,"Nature's Seed Pasture & Forage 50 Lb for 50,000 Sq Ft Bermudagrass Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,10531,48,77.94,1.00,294.89,3.78,0.46,1.62,2.08,294.89,3,7
gla_446819,"Tortoise Forage & Habitat Mix 8-Species Drought-Tolerant Grass Seed 4 Lb for 4,000 Sq Ft | Nature's Seed",pasture seeds,pasture seeds mix,9698,213,189.12,15.99,709.94,3.75,2.20,0.89,7.51,44.40,3,4
pb-glpb-500-f,Great Lakes/New England Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england poultry forage blend,9967,60,39.45,1.90,147.81,3.75,0.60,0.66,3.17,77.79,4,3
gla_185465,Florida Tropics Poultry Forage Mix,pasture seed,poultry pastures,6263,76,50.51,1.50,188.34,3.73,1.21,0.66,1.97,125.56,3,9
pb-tort-nb-500-f,Tortoise Forage Mix (No Bermudagrass) - Pasture Seed | Nature's Seed,pasture seed,tortoise forage mix (no bermudagrass),9272,86,30.60,1.04,113.78,3.72,0.93,0.36,1.21,109.40,4,3
pb-iwb,Intermountain West Bison Forage Mix Pasture Seed | Nature's Seed,pasture seed,intermountain west bison forage mix,20741,82,59.13,1.25,218.24,3.69,0.40,0.72,1.52,174.59,8,7
gla_185553,Southern Subtropics Poultry Forage Mix,pasture seed,poultry pastures,7926,86,144.98,3.46,532.45,3.67,1.09,1.69,4.02,153.89,4,10
pb-glpb-2000-f,Great Lakes/New England Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england poultry forage blend,10602,60,41.25,2.59,151.35,3.67,0.57,0.69,4.32,58.44,4,3
pb-glh-1-a,Great Lakes/New England Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england horse forage blend,25606,174,206.83,8.44,756.28,3.66,0.68,1.19,4.85,89.61,4,3
pb-psws-2.5-a,Pacific Southwest Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific southwest sheep forage blend,3971,12,19.53,0.99,71.34,3.65,0.30,1.63,8.25,72.06,4,3
pb-swdb,Southwest Desert Bison Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest desert bison forage mix,20689,62,52.88,1.00,192.87,3.65,0.30,0.85,1.61,192.87,8,7
pb-glh-2.5-a,Great Lakes/New England Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england horse forage blend,50826,391,481.89,4.55,1747.51,3.63,0.77,1.23,1.16,384.07,4,3
pb-gppb,Great Plains Poultry Forage Mix Pasture Seed | Nature's Seed,pasture seed,great plains poultry forage mix,83764,620,279.60,10.53,1012.98,3.62,0.74,0.45,1.70,96.20,8,8
gla_440359,"Nature's Seed Cool‐Season Pasture & Forage 10 Lb for 10,000 Sq Ft Mix Pure Blend for Dairy & Beef",pasture seeds,pasture seeds mix,56317,450,452.95,20.90,1632.46,3.60,0.80,1.01,4.64,78.11,4,11
pb-gpbc,Great Plains Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,great plains beef cattle forage mix,99838,691,274.33,1.49,984.48,3.59,0.69,0.40,0.22,660.72,8,8
pb-glbc,Great Lakes/New England Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,great lakes/new england beef cattle forage mix,70155,608,289.12,2.67,1032.62,3.57,0.87,0.48,0.44,386.75,8,8
pb-mwg-1-a,Mid-West/Mid-Atlantic Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,mid-west/mid-atlantic goat forage blend,13328,99,58.75,1.20,208.34,3.55,0.74,0.59,1.21,173.62,4,3
pb-fth,Florida Tropics Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,florida tropics horse forage mix,51588,427,313.57,4.95,1108.26,3.53,0.83,0.73,1.16,223.89,8,8
pb-glg-0.5-a,Great Lakes/New England Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england goat forage blend,13985,99,96.12,3.11,338.77,3.52,0.71,0.97,3.14,108.93,4,3
pb-gppb-0.5-a,Great Plains Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains poultry forage blend,29272,214,140.34,9.25,493.09,3.51,0.73,0.66,4.32,53.31,4,3
pb-ssh-1-a,Southern Subtropics Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics horse forage blend,29432,180,259.28,2.20,909.90,3.51,0.61,1.44,1.22,413.59,4,3
gla_183885,Southwest Desert Sheep Forage Mix,pasture seed,sheep pastures,13425,161,165.36,3.28,579.47,3.50,1.20,1.03,2.04,176.67,4,10
gla_185571,Southwest Transitional Poultry Forage Mix,pasture seed,poultry pastures,3861,58,39.28,2.00,137.47,3.50,1.50,0.68,3.45,68.73,4,10
gla_183894,Mid-West/Mid-Atlantic Sheep Forage Mix,pasture seed,sheep pastures,2798,34,75.63,2.00,261.26,3.45,1.22,2.22,5.88,130.63,4,9
gla_183584,Intermountain West Horse Forage Mix,pasture seed,horse pastures,4303,74,137.79,3.50,471.93,3.42,1.72,1.86,4.73,134.84,4,9
pb-swdh-1-a,Southwest Desert Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest desert horse forage blend,43728,304,316.54,5.64,1078.72,3.41,0.70,1.04,1.86,191.26,4,3
pb-sspb-2000-f,Southern Subtropics Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics poultry forage blend,8828,41,25.25,1.33,85.30,3.38,0.46,0.62,3.24,64.14,4,3
gla_185539,South-Atlantic Transitional Poultry Forage Mix,pasture seed,poultry pastures,4207,79,73.73,2.09,245.48,3.33,1.88,0.93,2.65,117.45,4,10
gla_185597,Southwest Desert Poultry Forage Mix,pasture seed,poultry pastures,6032,109,95.34,3.66,317.40,3.33,1.81,0.87,3.36,86.72,3,9
pb-swts-2.5-a,Southwest Transitional Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest transitional sheep forage blend,10896,58,40.64,1.00,135.03,3.32,0.53,0.70,1.72,135.03,4,3
gla_445281,"Nature's Seed Warm‐Season Pasture & Forage 10 Lb for 10,000 Sq Ft Mix No Filler, Palatable Seed for Horses",pasture seeds,pasture seeds mix,29259,213,294.25,10.63,971.82,3.30,0.73,1.38,4.99,91.42,3,7
pb-pnwpb-1000-f,Pacific Northwest Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific northwest poultry forage blend,22647,189,134.56,5.84,443.50,3.30,0.83,0.71,3.09,75.94,4,3
gla_185598,Southwest Desert Poultry Forage Mix,pasture seed,poultry pastures,12263,284,227.15,13.29,734.64,3.23,2.32,0.80,4.68,55.28,4,10
gla_185587,Pacific Northwest Poultry Forage Mix,pasture seed,poultry pastures,14157,247,311.83,13.68,1005.54,3.22,1.74,1.26,5.54,73.50,4,9
gs1_000009,"Nature's Seed California Forage 5 Lb of Pasture Grass Seed for 5,000 Sq Ft Mix Native seed blend",pasture seeds,pasture seeds mix,5634,38,92.18,1.50,296.98,3.22,0.67,2.43,3.95,197.99,1,6
gla_185468,Florida Tropics Poultry Forage Mix,pasture seed,poultry pastures,3454,48,52.42,1.70,168.81,3.22,1.39,1.09,3.54,99.30,3,9
pb-satpb-1-a,South-Atlantic Transitional Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional poultry forage blend,3674,11,10.17,1.00,32.74,3.22,0.30,0.92,9.09,32.74,4,3
gla_183534,Sheep Fescue Grass,lawn seed,grass seed by state,98579,532,422.95,12.91,1351.51,3.20,0.54,0.80,2.43,104.69,4,9
12098780701196574523,Sheep Fescue Grass,,,1381,41,27.96,3.00,88.98,3.18,2.97,0.68,7.32,29.66,2,2
gla_445910,"Nature's Seed Any Region Pasture & Forage 10 Lb for 10,000 Sq Ft Mix Curated Soft‐Leaf Blend for Llamas and Aplacas with No Fillers",pasture seeds,pasture seeds mix,7463,20,21.23,1.54,67.48,3.18,0.27,1.06,7.70,43.82,3,7
pg-chin-25-lb,Forage Chicory - Pasture Seed | Nature's Seed,pasture seed,forage chicory,5356,63,31.20,1.81,98.99,3.17,1.18,0.50,2.87,54.69,3,3
gla_445831,"Nature's Seed Any Region Pasture & Forage 20 Lb for 20,000 Sq Ft Mix Clean, High-Energy Blend for Pigs",pasture seeds,pasture seeds mix,8745,43,62.37,3.67,197.82,3.17,0.49,1.45,8.53,53.90,3,7
pb-gpg-2.5-a,Great Plains Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains goat forage blend,33635,280,146.66,3.84,464.78,3.17,0.83,0.52,1.37,121.04,4,3
gla_184434,Tortoise Forage Mix,pasture seed,,369,11,15.13,1.02,47.89,3.17,2.98,1.38,9.27,46.95,2,3
gla_455513,"Nature's Seed Green Screen Food Plot Seed Mix 10 lb Bag - Covers 40,000 Sq Ft - Deer & Wildlife Forage Blend",food plot,food plot mix wildlife attractor,67438,1015,439.37,15.94,1374.90,3.13,1.51,0.43,1.57,86.25,1,3
gla_183586,Intermountain West Horse Forage Mix,pasture seed,horse pastures,1819,16,28.81,0.83,90.15,3.13,0.88,1.80,5.19,108.61,3,6
pb-swdpb-1500-f,Southwest Desert Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest desert poultry forage blend,33048,257,145.66,6.15,455.72,3.13,0.78,0.57,2.39,74.10,4,3
pb-pnwbc,Pacific Northwest Beef Cattle Forage Mix,pasture seed,pacific northwest beef cattle forage mix,98644,1286,634.78,8.71,1967.96,3.10,1.30,0.49,0.68,225.94,8,13
pb-swth-0.5-a,Southwest Transitional Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest transitional horse forage blend,20137,58,77.94,1.22,239.63,3.07,0.29,1.34,2.10,196.42,4,3
gla_185467,Florida Tropics Poultry Forage Mix,pasture seed,poultry pastures,7129,128,126.15,3.01,385.83,3.06,1.80,0.99,2.35,128.18,4,9
gla_184433,Tortoise Forage Mix Grass Seed Mix 1000 sq. ft.,pasture seed,fescue grass seed,121077,494,338.40,19.66,1030.26,3.04,0.41,0.69,3.98,52.40,4,10
gs2_000010,"Nature's Seed Any Region Poultry Forage 25 Lb of Pasture Grass Seed for 25,000 Sq Ft Mix High‐Protein Legume & Flax & Forage Certified",pasture seeds,pasture seeds mix,5650,24,40.33,7.03,121.87,3.02,0.42,1.68,29.29,17.34,1,6
gla_183572,Great Plains Horse Forage Mix,pasture seed,horse pastures,4624,36,70.49,1.50,211.78,3.00,0.78,1.96,4.17,141.19,4,10
pb-swdh-0.5-a,Southwest Desert Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest desert horse forage blend,41581,218,204.36,3.23,611.32,2.99,0.52,0.94,1.48,189.26,4,3
gla_445860,"Nature's Seed Cool‐Adapted Pasture & Forage 20 Lb for 20,000 Sq Ft Mix No Filler, Palatable Seed for Horses",pasture seeds,pasture seeds mix,19117,134,195.87,7.79,585.51,2.99,0.70,1.46,5.81,75.16,3,7
gla_445871,"Nature's Seed Warm‐Season Pasture & Forage 10 Lb for 10,000 Sq Ft Mix Pure Blend for Dairy & Beef",pasture seeds,pasture seeds mix,24530,170,242.59,5.67,724.28,2.99,0.69,1.43,3.34,127.74,3,7
gla_186828,Pacific Southwest Pig Forage Mix,pasture seed,pig pastures,2664,21,37.55,3.02,112.05,2.98,0.79,1.79,14.38,37.10,2,3
gla_446808,"Nature's Seed Pasture & Forage 50 Lb for 50,000 Sq Ft Buckwheat Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,9966,56,94.67,5.43,282.26,2.98,0.56,1.69,9.70,51.98,3,7
pb-swtpb,Southwest Transitional Poultry Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest transitional poultry forage mix,27982,67,36.85,0.94,109.85,2.98,0.24,0.55,1.40,116.86,8,7
pb-gls-1-a,Great Lakes/New England Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england sheep forage blend,36143,212,249.45,3.81,739.06,2.96,0.59,1.18,1.80,193.98,4,3
gla_440382,Southern Sheep Pasture Mix,pasture seed,sheep pastures,5970,54,32.07,0.86,94.15,2.94,0.90,0.59,1.59,109.48,2,6
gla_183564,Pacific Southwest Horse Forage Mix,pasture seed,horse pastures,7688,90,234.42,4.87,687.46,2.93,1.17,2.60,5.41,141.16,4,9
pb-swtbc,Southwest Transitional Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest transitional beef cattle forage mix,28504,142,81.05,2.30,236.57,2.92,0.50,0.57,1.62,102.86,8,8
gla_185322,Forage Radish,pasture seed,individual pasture species,10234,179,178.99,8.83,521.83,2.92,1.75,1.00,4.93,59.10,4,10
pb-pswh,Pacific Southwest Horse Forage Mix,pasture seed,pacific southwest horse forage mix,27529,112,114.43,3.78,329.96,2.88,0.41,1.02,3.38,87.29,8,8
gla_184575,Forage Chicory,pasture seed,individual pasture species,28029,734,302.93,11.73,868.92,2.87,2.62,0.41,1.60,74.08,3,9
gla_185502,Intermountain West Poultry Forage Mix,pasture seed,poultry pastures,13774,142,185.47,5.14,531.66,2.87,1.03,1.31,3.62,103.44,4,9
pb-gpdc-2.5-a,Great Plains Dairy Cow Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains dairy cow forage blend,4471,30,28.66,1.00,82.05,2.86,0.67,0.96,3.33,82.05,4,3
gla_445280,"Nature's Seed Cool‐Adapted Pasture & Forage 50 Lb for 50,000 Sq Ft Mix No Filler, Palatable Seed for Horses",pasture seeds,pasture seeds mix,37442,324,756.70,31.94,2161.75,2.86,0.87,2.34,9.86,67.68,3,7
gla_445859,"Nature's Seed Any Region Pasture & Forage 5 Lb for 5,000 Sq Ft Mix Designed to attract Bees and Pollinators",pasture seeds,pasture seeds mix,16363,146,219.41,9.82,625.76,2.85,0.89,1.50,6.73,63.72,3,7
gla_440364,Northern Goat Pasture Mix,pacific northwest planting region,goat pasture seed,9126,108,124.64,1.44,355.15,2.85,1.18,1.15,1.33,246.63,2,5
gla_183948,Great Lakes/New England Sheep Forage Mix,pasture seed,sheep pastures,25830,543,1031.93,8.80,2928.98,2.84,2.10,1.90,1.62,332.84,4,9
pb-pnwpg,Pacific Northwest Pig Forage Mix | Nature's Seed,pasture seed,pacific northwest pig forage mix,6424,31,23.74,1.04,67.35,2.84,0.48,0.77,3.35,64.76,2,4
gla_185464,Florida Tropics Poultry Forage Mix,pasture seed,poultry pastures,2122,33,18.79,2.81,53.20,2.83,1.56,0.57,8.52,18.93,2,3
pb-iwg-0.5-a,Intermountain West Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,intermountain west goat forage blend,8385,43,23.73,0.25,67.16,2.83,0.51,0.55,0.58,268.64,4,3
pb-satg-2.5-a,South-Atlantic Transitional Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional goat forage blend,44420,243,183.60,2.34,518.15,2.82,0.55,0.76,0.96,221.43,4,3
pb-ftpg-0.5-a,Florida Tropics Pig Forage Mix - Pasture Seed | Nature's Seed,pasture seed,florida tropics pig forage mix,13652,83,64.35,1.33,181.23,2.82,0.61,0.78,1.60,136.26,3,3
pb-sspb-0.5-a,Southern Subtropics Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics poultry forage blend,7364,36,17.74,1.98,49.90,2.81,0.49,0.49,5.50,25.20,4,3
gla_445870,"Nature's Seed Warm‐Season Pasture & Forage 20 Lb for 20,000 Sq Ft Mix Pure Blend for Dairy & Beef",pasture seeds,pasture seeds mix,12897,63,96.10,1.00,269.97,2.81,0.49,1.53,1.59,269.97,3,7
gla_183738,Great Plains Dairy Cow Forage Mix,pasture seed,cattle pastures,669,15,12.97,0.33,36.31,2.80,2.24,0.86,2.20,110.03,3,9
gla_183577,South-Atlantic Transitional Horse Forage Mix,pasture seed,horse pastures,7614,114,203.76,1.86,569.77,2.80,1.50,1.79,1.63,306.33,3,9
pb-glpg,Great Lakes/New England Pig Forage Mix Pasture Seed | Nature's Seed,pasture seed,great lakes/new england pig forage mix,13884,90,80.15,5.17,223.32,2.79,0.65,0.89,5.74,43.20,2,4
pb-gps-0.5-a,Great Plains Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains sheep forage blend,25490,171,96.66,1.17,268.24,2.78,0.67,0.57,0.68,229.26,4,3
gla_183600,Southern Subtropics Horse Forage Mix,pasture seed,horse pastures,5831,50,143.41,0.72,397.33,2.77,0.86,2.87,1.44,551.85,3,9
gla_440347,Poultry Forage Mix,pasture seed,individual pasture species,5558,96,151.38,2.79,417.87,2.76,1.73,1.58,2.91,149.77,2,3
gla_185586,Pacific Northwest Poultry Forage Mix,pasture seed,poultry pastures,43889,635,688.73,14.89,1886.92,2.74,1.45,1.08,2.34,126.72,4,9
gla_185501,Intermountain West Poultry Forage Mix,pasture seed,poultry pastures,61453,500,659.71,19.52,1798.09,2.73,0.81,1.32,3.90,92.12,4,9
pb-iwh-2.5-a,Intermountain West Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,intermountain west horse forage blend,26748,159,215.71,1.95,579.99,2.69,0.59,1.36,1.23,297.43,4,3
gla_185321,Forage Radish,pasture seed,individual pasture species,30499,502,403.42,20.20,1078.82,2.67,1.65,0.80,4.02,53.41,4,10
pb-swdbc-0.5-a,Southwest Desert Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest desert beef cattle forage blend,53042,482,230.92,3.78,612.31,2.65,0.91,0.48,0.78,161.99,4,3
pb-iwpb-1-a,Intermountain West Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,intermountain west poultry forage blend,6212,49,31.21,1.50,82.56,2.65,0.79,0.64,3.06,55.04,4,3
gla_445863,"Nature's Seed Cool‐Adapted Pasture & Forage 20 Lb for 20,000 Sq Ft Mix Grazing for Goats 100% Pure Seed",pasture seeds,pasture seeds mix,9092,36,45.41,3.66,120.01,2.64,0.40,1.26,10.17,32.79,3,7
gs3_000010,"Nature's Seed Any Region Poultry Pasture & Forage 50 Lb for 50,000 Sq Ft Mix High‐Protein Legume & Flax & Forage Certified",pasture seeds,pasture seeds mix,5212,31,76.41,4.00,200.27,2.62,0.59,2.46,12.90,50.07,1,6
gla_446599,"Nature's Seed Pasture & Forage 5 Lb for 5,000 Sq Ft Timothy Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,10923,67,66.17,2.18,173.31,2.62,0.61,0.99,3.25,79.50,3,7
pb-ssas,Southwest Semi-Arid Steppe Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest semi-arid steppe sheep forage mix,11723,30,14.15,0.50,36.64,2.59,0.26,0.47,1.67,73.28,8,8
pb-mwpb-2.5-a,Mid-West/Mid-Atlantic Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,mid-west/mid-atlantic poultry forage blend,12842,99,56.37,2.82,145.02,2.57,0.77,0.57,2.85,51.43,4,3
pb-mwpb-1000-f,Mid-West/Mid-Atlantic Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,mid-west/mid-atlantic poultry forage blend,11449,106,59.91,1.86,153.70,2.57,0.93,0.57,1.75,82.63,4,3
gla_446822,"Sheep Fescue Grass Seed – Fine-Textured, Hardy Lawn Seed for Poor Soils 5 Lb for 10,000 Sq Ft | Nature's Seed",specialty seeds,lawn alternative/enhancer,32169,367,268.63,8.45,677.89,2.52,1.14,0.73,2.30,80.22,3,4
pb-pnwb-1-a,Pacific Northwest Bison Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific northwest bison forage blend,16547,71,70.05,1.49,176.70,2.52,0.43,0.99,2.10,118.59,4,3
pb-tort-2000-f,Tortoise Forage Mix - Pasture Seed | Nature's Seed,pasture seed,tortoise forage mix,13587,146,89.19,7.62,222.77,2.50,1.07,0.61,5.22,29.23,4,3
gla_185480,Great Lakes/New England Poultry Forage Mix,pasture seed,poultry pastures,44706,184,218.15,2.55,541.34,2.48,0.41,1.19,1.39,212.29,3,9
gla_455934,"Short Prairie Pasture Seed Mix - Fast-Growing Forage Blend - 10 lb, Covers 50,000 sq ft | Nature's Seed",food plot,food plot mix wildlife attractor,13474,60,78.16,1.33,193.89,2.48,0.45,1.30,2.22,145.78,1,3
pb-swtpb-5000-f,Southwest Transitional Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest transitional poultry forage blend,2469,19,9.95,0.45,24.61,2.47,0.77,0.52,2.37,54.69,4,3
pb-satpg,South-Atlantic Transitional Pig Forage Mix | Nature's Seed,pasture seed,south-atlantic transitional pig forage mix,4087,33,21.55,0.62,52.95,2.46,0.81,0.65,1.88,85.40,2,4
pb-tort-5000-f,Tortoise Forage Mix - Pasture Seed | Nature's Seed,pasture seed,tortoise forage mix,12379,153,85.15,5.74,208.28,2.45,1.24,0.56,3.75,36.29,4,3
gla_183613,Great Lakes/New England Horse Forage Mix,pasture seed,horse pastures,11162,174,393.89,7.08,962.09,2.44,1.56,2.26,4.07,135.89,4,10
